MSA_ID,ra,dec,prism_4,Mgrat_4,prism_5,Mgrat_5,prism_7,Mgrat_7,prism_8,Mgrat_8,prism_9,Mgrat_9,prism_10,Mgrat_10,prism_11,prism_12
000606,214.8729,52.840392,False,False,False,False,False,False,False,False,False,False,False,False,True,False
000613,214.882077,52.844346,False,True,False,False,False,False,False,False,False,False,False,False,False,False
000618,214.876469,52.839412,True,True,False,False,False,False,False,False,False,False,True,True,True,False
000622,214.887474,52.845218,True,True,False,False,False,False,False,False,False,False,False,False,False,False
000639,214.879606,52.835873,False,False,False,False,False,False,False,False,False,False,True,False,False,False
000648,214.899823,52.847647,False,False,False,False,False,False,False,False,False,False,True,True,False,False
000653,214.880902,52.832915,False,False,False,False,False,False,False,False,False,False,False,False,True,False
000663,214.896443,52.842011,True,True,False,False,False,False,False,False,False,False,False,False,False,False
000665,214.888791,52.833919,False,False,False,False,False,False,False,False,False,False,True,False,False,False
000669,214.896381,52.838514,False,False,False,False,False,False,False,False,False,False,True,True,False,False
000670,214.903681,52.844914,False,False,False,False,False,False,False,False,False,False,True,True,False,False
000672,214.889677,52.832977,False,False,False,False,False,False,False,False,False,False,True,True,False,False
000676,214.908478,52.84509,False,False,False,False,False,False,False,False,False,False,True,True,False,False
000686,215.1508619,52.9895618,False,False,False,False,False,False,True,False,False,False,False,False,False,False
000689,214.9990525,52.9419767,False,False,False,False,False,False,False,False,True,True,False,False,False,False
000698,215.0503166,53.0074406,False,False,False,True,False,False,False,False,False,False,False,False,False,False
000707,214.991908,52.925045,False,False,False,False,False,False,False,False,True,True,False,False,False,False
000712,215.0339268,52.9137784,False,False,False,False,False,False,False,False,True,True,False,False,False,False
000714,214.9703333,52.9372842,False,False,False,False,False,False,False,False,True,True,False,False,False,False
000716,215.0803487,52.9932406,False,False,True,False,False,False,False,False,False,False,False,False,False,False
000717,215.0814058,52.9721795,False,False,True,True,False,False,True,True,False,False,False,False,False,False
000719,215.1600523,53.0645219,False,False,False,False,True,True,False,False,False,False,False,False,False,False
000733,214.9103567,52.8550247,False,False,False,False,False,False,False,False,False,False,False,False,True,False
000746,214.8091416,52.8684835,True,True,False,False,False,False,False,False,False,False,False,False,False,False
000749,215.0028404,53.0075883,False,False,True,False,False,False,False,False,False,False,False,False,False,False
000757,214.876689,52.880923,True,True,False,False,False,False,False,False,False,False,False,False,False,False
000792,214.8717663,52.8331673,False,True,False,False,False,False,False,False,False,False,False,False,False,False
000798,214.8824372,52.8386701,False,False,False,False,False,False,False,False,False,False,False,False,True,False
000800,214.8954554,52.839473,False,False,False,False,False,False,False,False,False,False,True,True,False,False
000829,214.8615939,52.876159,True,False,False,False,False,False,False,False,False,False,False,False,False,False
000853,215.012523,53.0013597,False,False,True,False,False,False,False,False,False,False,False,False,False,False
000933,214.8337227,52.8682822,True,False,False,False,False,False,False,False,False,False,False,False,False,False
000976,214.9016133,52.8398454,False,False,False,False,False,False,False,False,False,False,True,False,False,False
001019,215.0353914,52.8906618,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001023,215.1884129,53.0336473,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001025,214.9675468,52.932953,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001027,214.8829941,52.8404159,True,True,False,False,False,False,False,False,False,False,True,True,True,False
001029,215.2187624,53.0698619,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001038,215.0396971,52.9015971,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001040,215.226785,53.0365541,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001043,214.9435435,52.8456602,False,False,False,False,False,False,False,False,False,False,True,False,False,False
001064,215.1771672,53.0489751,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001065,215.1168542,53.0010814,False,False,False,False,False,False,True,False,False,False,False,False,False,False
001102,215.0910473,52.9542849,False,False,False,False,False,False,True,False,False,False,False,False,False,False
001115,215.1628177,53.0730973,False,False,False,False,False,True,False,False,False,False,False,False,False,False
001130,215.0794228,52.9935261,False,False,False,True,False,False,False,False,False,False,False,False,False,False
001142,215.0607164,52.9587084,False,False,True,True,False,False,False,False,False,False,False,False,False,False
001143,215.0770064,52.9695042,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001147,214.9581368,52.8750218,False,False,False,False,False,False,False,False,False,False,True,True,False,False
001149,215.0897143,52.9661828,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001160,214.8050474,52.845877,False,True,False,False,False,False,False,False,False,False,False,False,False,False
001163,214.9904678,52.9719902,False,False,True,True,False,False,False,False,False,False,False,False,False,False
001173,215.1542076,52.955847,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001205,215.0590618,52.9007601,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001207,214.9600055,52.8311713,False,False,False,False,False,False,False,False,False,False,False,True,False,False
001211,214.8043049,52.7209544,False,False,False,False,False,False,False,False,False,False,False,False,False,True
001212,214.9541475,52.8286132,False,False,False,False,False,False,False,False,False,False,False,True,False,False
001217,215.2422372,53.0324421,False,False,False,False,True,False,False,False,False,False,False,False,False,False
001232,214.9485034,52.8272857,False,False,False,False,False,False,False,False,False,False,True,False,False,False
001236,215.1452982,52.9672786,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001244,215.2406522,53.0360412,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001245,215.033133,52.8899641,False,False,False,False,False,False,False,False,True,False,False,False,False,False
001267,215.2220383,53.027369,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001289,214.9476341,52.837098,False,False,False,False,False,False,False,False,False,False,False,True,False,False
001294,214.9552513,52.8428999,False,False,False,False,False,False,False,False,False,False,True,True,False,False
001305,215.0408746,52.9062239,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001324,215.0305739,52.9026048,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001326,214.9494833,52.8454089,False,False,False,False,False,False,False,False,False,False,True,False,False,False
001334,214.7683564,52.7176411,False,False,False,False,False,False,False,False,False,False,False,False,False,True
001335,215.0379456,52.9093261,False,False,False,False,False,False,False,False,True,False,False,False,False,False
001358,215.0909401,52.951531,False,False,False,False,False,False,False,True,False,False,False,False,False,False
001365,215.0268968,52.9072017,False,False,False,False,False,False,False,False,True,True,False,False,False,False
001374,214.943911,52.8500419,False,False,False,False,False,False,False,False,False,False,False,True,True,False
001376,214.9436818,52.8500692,False,False,False,False,False,False,False,False,False,False,False,True,False,False
001378,215.1450933,52.9924333,False,False,False,False,False,False,True,False,False,False,False,False,False,False
001381,215.1447577,52.9924371,False,False,False,False,False,False,True,False,False,False,False,False,False,False
001383,215.2093011,53.0378939,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001388,215.0001061,52.8910612,False,False,False,False,False,False,False,False,True,False,False,False,False,False
001393,214.9612598,52.8639485,False,False,False,False,False,False,False,False,False,False,True,False,False,False
001395,215.2349864,53.0572423,False,False,False,False,True,False,False,False,False,False,False,False,False,False
001400,215.1161048,52.9741843,False,False,False,False,False,False,True,True,False,False,False,False,False,False
001401,215.2458005,53.0652953,False,False,False,False,True,True,False,False,False,False,False,False,False,False
001407,215.0425668,52.9237078,False,False,False,False,False,False,False,False,True,True,False,False,False,False
